name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,lat,long
abelisaurus,carnivorous,Late Cretaceous,Argentina,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,Bonaparte and Novas (1985),comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html,-27.88998284943061,-64.8464172701122
achelousaurus,herbivorous,Late Cretaceous,USA,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson  (1995),horneri,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html,43.7327862135927,-91.29032576261446
achillobator,carnivorous,Late Cretaceous,Mongolia,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Perle Norell and Clark (1999),giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html,49.08649600682492,98.69640572554516
acrocanthosaurus,carnivorous,Early Cretaceous,USA,large theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stovall and Langston (1950),atokensis,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html,38.52770197894651,-115.51396668160244
agilisaurus,herbivorous,Late Jurassic,China,euornithopod,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Peng (1990),louderbacki,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html,33.56397741038529,99.74825986310896
albertaceratops,herbivorous,Late Cretaceous,USA,ceratopsian,7.0m,Dinosauria Ornithischia,Ryan 2007,nesmoi,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html,46.08118528234141,-117.63373925142815
albertosaurus,carnivorous,Late Cretaceous,Canada,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html,56.45910373485654,-113.1653852658264
alectrosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Gilmore (1933),olseni,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html,49.08649600682492,98.69640572554516
alioramus,carnivorous,Late Cretaceous,Mongolia,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Kurzanov (1976),remotus,https://www.nhm.ac.uk/discover/dino-directory/alioramus.html,49.08649600682492,98.69640572554516
allosaurus,carnivorous,Late Jurassic,USA,large theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Marsh (1877),fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html,43.7327862135927,-91.29032576261446
alvarezsaurus,carnivorous,Late Cretaceous,Argentina,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Bonaparte (1991),calvoi,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html,-27.88998284943061,-64.8464172701122
anchiceratops,herbivorous,Late Cretaceous,Canada,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Brown (1914),ornatus,https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html,57.01048122766619,-96.72366948227602
ankylosaurus,herbivorous,Late Cretaceous,USA,armoured dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Brown (1908),magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,46.08118528234141,-117.63373925142815
anserimimus,carnivorous,Late Cretaceous,Mongolia,large theropod,3.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Barsbold (1988),planinychus,https://www.nhm.ac.uk/discover/dino-directory/anserimimus.html,49.08649600682492,98.69640572554516
aralosaurus,herbivorous,Late Cretaceous,Kazakhstan,euornithopod,8.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Rozhdestvensky (1968),tuberiferus,https://www.nhm.ac.uk/discover/dino-directory/aralosaurus.html,50.90482567589214,65.72597090767513
archaeoceratops,herbivorous,Early Cretaceous,China,ceratopsian,1.3m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Dong and Azuma (1987),oshimai,https://www.nhm.ac.uk/discover/dino-directory/archaeoceratops.html,39.07922300011976,111.43621012808882
archaeopteryx,carnivorous,Late Jurassic,Germany,small theropod,0.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Archaeopterygidae,Mayer (1861),lithographica,https://www.nhm.ac.uk/discover/dino-directory/archaeopteryx.html,51.605660718254256,7.434481156019075
arrhinoceratops,herbivorous,Late Cretaceous,Canada,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Parks (1925),brachyops,https://www.nhm.ac.uk/discover/dino-directory/arrhinoceratops.html,63.00768024686079,-130.59324600039025
atlascopcosaurus,herbivorous,Early Cretaceous,Australia,euornithopod,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Rich and Rich (1989),loadsi,https://www.nhm.ac.uk/discover/dino-directory/atlascopcosaurus.html,-25.0,134.0
aucasaurus,carnivorous,Late Cretaceous,Argentina,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Coria Chiappe and Dingus (2002),garridoi,https://www.nhm.ac.uk/discover/dino-directory/aucasaurus.html,-27.88998284943061,-64.8464172701122
avaceratops,herbivorous,Late Cretaceous,USA,ceratopsian,2.3m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Dodson (1986),lammersi,https://www.nhm.ac.uk/discover/dino-directory/avaceratops.html,38.52770197894651,-115.51396668160244
avimimus,omnivorous,Late Cretaceous,Mongolia,small theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Avimimidae,Kurzanov (1981),portentosus,https://www.nhm.ac.uk/discover/dino-directory/avimimus.html,49.08649600682492,98.69640572554516
bactrosaurus,herbivorous,Late Cretaceous,China,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Gilmore (1933),johnsoni,https://www.nhm.ac.uk/discover/dino-directory/bactrosaurus.html,42.04532706118388,83.91296904405971
bagaceratops,herbivorous,Late Cretaceous,Mongolia,ceratopsian,1.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Bagaceratopsidae,Maryanska and Osmolska (1975),rozhdestvenskyi,https://www.nhm.ac.uk/discover/dino-directory/bagaceratops.html,49.08649600682492,98.69640572554516
bambiraptor,carnivorous,Late Cretaceous,USA,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Burnham Derstler Currie Bakker Zhou and Ostrom (2000),feinbergorum,https://www.nhm.ac.uk/discover/dino-directory/bambiraptor.html,36.6111957036912,-101.52376612503838
beipiaosaurus,omnivorous,Early Cretaceous,China,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea,Xu Tang and Wang (1999),inexpectus,https://www.nhm.ac.uk/discover/dino-directory/beipiaosaurus.html,33.56397741038529,99.74825986310896
borogovia,carnivorous,Late Cretaceous,Mongolia,small theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Osmólska (1987),gracilicrus,https://www.nhm.ac.uk/discover/dino-directory/borogovia.html,49.08649600682492,98.69640572554516
brachylophosaurus,herbivorous,Late Cretaceous,USA,euornithopod,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,C. M. Sternberg (1953),canadensis,https://www.nhm.ac.uk/discover/dino-directory/brachylophosaurus.html,38.52770197894651,-115.51396668160244
buitreraptor,carnivorous,Late Cretaceous,Argentina,small theropod,1.3m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae Unenlagiinae,Makovicky Apesteguía &amp; Agnolin (2005),gonzalezorum,https://www.nhm.ac.uk/discover/dino-directory/buitreraptor.html,-27.88998284943061,-64.8464172701122
camptosaurus,herbivorous,Late Jurassic,USA,euornithopod,5.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia,Marsh (1885),dispar,https://www.nhm.ac.uk/discover/dino-directory/camptosaurus.html,46.08118528234141,-117.63373925142815
carnotaurus,carnivorous,Late Cretaceous,Argentina,large theropod,7.6m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Bonaparte (1985),sastrei,https://www.nhm.ac.uk/discover/dino-directory/carnotaurus.html,-27.88998284943061,-64.8464172701122
caudipteryx,omnivorous,Early Cretaceous,China,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caudipterygidae,Ji Currie Norell and Ji. (1998),zoui,https://www.nhm.ac.uk/discover/dino-directory/caudipteryx.html,42.04532706118388,83.91296904405971
cedarpelta,herbivorous,Early Cretaceous,USA,armoured dinosaur,10.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Carpenter Kirkland Burge and Bird (2001),bilbeyhallorum,https://www.nhm.ac.uk/discover/dino-directory/cedarpelta.html,43.7327862135927,-91.29032576261446
centrosaurus,herbivorous,Late Cretaceous,Canada,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,apertus,,https://www.nhm.ac.uk/discover/dino-directory/centrosaurus.html,56.45910373485654,-113.1653852658264
ceratosaurus,carnivorous,Late Jurassic,USA,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Marsh (1884),nasicornis,https://www.nhm.ac.uk/discover/dino-directory/ceratosaurus.html,38.52770197894651,-115.51396668160244
chaoyangsaurus,herbivorous,Late Jurassic,China,ceratopsian,1.1m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Zhao Cheng and Xu (1999),youngi,https://www.nhm.ac.uk/discover/dino-directory/chaoyangsaurus.html,33.56397741038529,99.74825986310896
chasmosaurus,herbivorous,Late Cretaceous,Canada,ceratopsian,5.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,belli,,https://www.nhm.ac.uk/discover/dino-directory/chasmosaurus.html,57.01048122766619,-96.72366948227602
chindesaurus,carnivorous,Late Triassic,USA,small theropod,4.0m,Dinosauria Saurischia Theropoda Herrerasauridae,Long and Murry (1995),bryansmalli,https://www.nhm.ac.uk/discover/dino-directory/chindesaurus.html,36.6111957036912,-101.52376612503838
chirostenotes,omnivorous,Late Jurassic,Canada,small theropod,1.7m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,Gilmore (1924),pergracilis,https://www.nhm.ac.uk/discover/dino-directory/chirostenotes.html,63.00768024686079,-130.59324600039025
chungkingosaurus,herbivorous,Late Jurassic,China,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Dong Zhou and Zhang (1983),jiangbeiensis,https://www.nhm.ac.uk/discover/dino-directory/chungkingosaurus.html,42.04532706118388,83.91296904405971
citipati,omnivorous,Late Cretaceous,Mongolia,small theropod,2.1m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Clark Norell and Barsbold (2001),osmolskae,https://www.nhm.ac.uk/discover/dino-directory/citipati.html,49.08649600682492,98.69640572554516
coelurus,carnivorous,Late Jurassic,USA,small theropod,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Marsh (1879),fragilis,https://www.nhm.ac.uk/discover/dino-directory/coelurus.html,46.08118528234141,-117.63373925142815
compsognathus,carnivorous,Late Jurassic,Germany,small theropod,0.65m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Wagner (1859),longipes,https://www.nhm.ac.uk/discover/dino-directory/compsognathus.html,51.605660718254256,7.434481156019075
conchoraptor,carnivorous,Late Cretaceous,Mongolia,small theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Barsbold (1986),gracilis,https://www.nhm.ac.uk/discover/dino-directory/conchoraptor.html,49.08649600682492,98.69640572554516
confuciusornis,carnivorous,Early Cretaceous,China,small theropod,0.25m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Ornithurae Avibrevicauda Pygostylia Confuciusornithidae,Hou Zhou Gu and Zhang (1995),sanctus,https://www.nhm.ac.uk/discover/dino-directory/confuciusornis.html,33.56397741038529,99.74825986310896
corythosaurus,herbivorous,Late Cretaceous,USA,euornithopod,10.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Brown (1914),casuarius,https://www.nhm.ac.uk/discover/dino-directory/corythosaurus.html,43.7327862135927,-91.29032576261446
cryolophosaurus,carnivorous,Early Jurassic,Antarctica,large theropod,8.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Hammer and Hickerson (1994),elliotti,https://www.nhm.ac.uk/discover/dino-directory/cryolophosaurus.html,-68.8333,-90.5833
daspletosaurus,carnivorous,Late Cretaceous,Canada,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Russell (1970),torosus,https://www.nhm.ac.uk/discover/dino-directory/daspletosaurus.html,56.45910373485654,-113.1653852658264
deinocheirus,omnivorous,Late Cretaceous,Mongolia,large theropod,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Osmólska and Roniewicz (1970),mirificus,https://www.nhm.ac.uk/discover/dino-directory/deinocheirus.html,49.08649600682492,98.69640572554516
deinonychus,carnivorous,Early Cretaceous,USA,small theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Ostrom (1969),antirrhopus,https://www.nhm.ac.uk/discover/dino-directory/deinonychus.html,38.52770197894651,-115.51396668160244
dilophosaurus,carnivorous,Early Jurassic,USA,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Dilophosauridae,wetherilli,,https://www.nhm.ac.uk/discover/dino-directory/dilophosaurus.html,36.6111957036912,-101.52376612503838
dromaeosaurus,carnivorous,Late Cretaceous,USA,small theropod,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Matthew and Brown (1922),albertensis,https://www.nhm.ac.uk/discover/dino-directory/dromaeosaurus.html,43.7327862135927,-91.29032576261446
dromiceiomimus,omnivorous,Late Cretaceous,Canada,large theropod,3.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Parks (1926),brevitertius,https://www.nhm.ac.uk/discover/dino-directory/dromiceiomimus.html,57.01048122766619,-96.72366948227602
dryosaurus,herbivorous,Late Jurassic,USA,euornithopod,4.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,Marsh (1894),altus,https://www.nhm.ac.uk/discover/dino-directory/dryosaurus.html,38.52770197894651,-115.51396668160244
dryptosaurus,carnivorous,Late Cretaceous,USA,large theropod,6.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Cope (1866),aquilunguis,https://www.nhm.ac.uk/discover/dino-directory/dryptosaurus.html,36.6111957036912,-101.52376612503838
edmontonia,herbivorous,Late Cretaceous,Canada,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Sternberg (1928),longiceps,https://www.nhm.ac.uk/discover/dino-directory/edmontonia.html,63.00768024686079,-130.59324600039025
edmontosaurus,herbivorous,Late Cretaceous,Canada,euornithopod,13.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Lambe (1917),regalis,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html,56.45910373485654,-113.1653852658264
einiosaurus,herbivorous,Late Cretaceous,USA,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson  (1995),procurvicornis,https://www.nhm.ac.uk/discover/dino-directory/einiosaurus.html,46.08118528234141,-117.63373925142815
elaphrosaurus,carnivorous,Late Jurassic,Tanzania,large theropod,6.2m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Janensch (1920),bambergi,https://www.nhm.ac.uk/discover/dino-directory/elaphrosaurus.html,-3.89435798651904,33.896566512028215
emausaurus,herbivorous,Mid Jurassic,Germany,armoured dinosaur,2.0m,Dinosauria Ornithischia Genasauria Thyreophora,Haubold (1991),ernsti,https://www.nhm.ac.uk/discover/dino-directory/emausaurus.html,51.605660718254256,7.434481156019075
eoraptor,carnivorous,Late Triassic,Argentina,small theropod,1.0m,Dinosauria Saurischia Theropoda,Sereno Forster Rogers and Monetta (1993),lunensis,https://www.nhm.ac.uk/discover/dino-directory/eoraptor.html,-27.88998284943061,-64.8464172701122
erlikosaurus,omnivorous,Late Cretaceous,Mongolia,small theropod,3.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Perle vide Barsbold and Perle (1980),andrewsi,https://www.nhm.ac.uk/discover/dino-directory/erlikosaurus.html,49.08649600682492,98.69640572554516
euoplocephalus,herbivorous,Late Cretaceous,USA,armoured dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,tutus,,https://www.nhm.ac.uk/discover/dino-directory/euoplocephalus.html,43.7327862135927,-91.29032576261446
gallimimus,omnivorous,Late Cretaceous,Mongolia,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Osmólska Roniewicz and Barsbold (1972),bullatus,https://www.nhm.ac.uk/discover/dino-directory/gallimimus.html,49.08649600682492,98.69640572554516
gargoyleosaurus,herbivorous,Late Jurassic,USA,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Carpenter Miles and Cloward (1998),parkpinorum,https://www.nhm.ac.uk/discover/dino-directory/gargoyleosaurus.html,38.52770197894651,-115.51396668160244
garudimimus,omnivorous,Late Cretaceous,Mongolia,large theropod,4.7m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Barsbold (1981),brevipes,https://www.nhm.ac.uk/discover/dino-directory/garudimimus.html,49.08649600682492,98.69640572554516
gasosaurus,carnivorous,Mid Jurassic,China,small theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,Dong and Tang (1985),constructus,https://www.nhm.ac.uk/discover/dino-directory/gasosaurus.html,33.56397741038529,99.74825986310896
gasparinisaura,herbivorous,Late Cretaceous,Argentina,euornithopod,0.8m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Coria and Salgado (1996),cincosaltensis,https://www.nhm.ac.uk/discover/dino-directory/gasparinisaura.html,-27.88998284943061,-64.8464172701122
gastonia,herbivorous,Early Cretaceous,USA,armoured dinosaur,4.6m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Kirkland (1998),burgei,https://www.nhm.ac.uk/discover/dino-directory/gastonia.html,36.6111957036912,-101.52376612503838
giganotosaurus,carnivorous,Early Cretaceous,Argentina,large theropod,12.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Coria and Salgado (1995),carolinii,https://www.nhm.ac.uk/discover/dino-directory/giganotosaurus.html,-27.88998284943061,-64.8464172701122
gilmoreosaurus,herbivorous,Late Cretaceous,China,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Brett-Surman (1979),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/gilmoreosaurus.html,39.07922300011976,111.43621012808882
gobisaurus,herbivorous,Early Cretaceous,China,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Vickaryous Russell Currie and Zhao (2001),domoculus,https://www.nhm.ac.uk/discover/dino-directory/gobisaurus.html,42.04532706118388,83.91296904405971
gorgosaurus,carnivorous,Late Cretaceous,USA,large theropod,8.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),libratus,https://www.nhm.ac.uk/discover/dino-directory/gorgosaurus.html,46.08118528234141,-117.63373925142815
goyocephale,herbivorous,Late Cretaceous,Mongolia,large theropod,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala,Perle Maryańska and Osmólska (1982),lattimorei,https://www.nhm.ac.uk/discover/dino-directory/goyocephale.html,49.08649600682492,98.69640572554516
gryposaurus,herbivorous,Late Cretaceous,USA,euornithopod,10.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Lambe (1914),notabilis,https://www.nhm.ac.uk/discover/dino-directory/gryposaurus.html,43.7327862135927,-91.29032576261446
guaibasaurus,herbivorous,Late Triassic,Brazil,small theropod,1.8m,Dinosauria Saurischia Theropoda,Bonaparte Ferigolo and Ribeiro (1999),candelariensis,https://www.nhm.ac.uk/discover/dino-directory/guaibasaurus.html,-10.62173489799737,-52.972484161461225
guanlong,carnivorous,Late Jurassic,China,small theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Xu Clark Forster Norell Erickson Eberth Jia and Zhao (2006),wucaii,https://www.nhm.ac.uk/discover/dino-directory/guanlong.html,33.56397741038529,99.74825986310896
hadrosaurus,herbivorous,Late Cretaceous,USA,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Leidy (1858),foulkii,https://www.nhm.ac.uk/discover/dino-directory/hadrosaurus.html,38.52770197894651,-115.51396668160244
harpymimus,omnivorous,Early Cretaceous,Mongolia,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Barsbold and Perle (1984),okladnikovi,https://www.nhm.ac.uk/discover/dino-directory/harpymimus.html,49.08649600682492,98.69640572554516
herrerasaurus,carnivorous,Late Triassic,Argentina,small theropod,3.0m,Dinosauria Saurischia Theropoda Herrerasauridae,Reig (1963),ischigualastensis,https://www.nhm.ac.uk/discover/dino-directory/herrerasaurus.html,-27.88998284943061,-64.8464172701122
hesperosaurus,herbivorous,Late Jurassic,USA,armoured dinosaur,6.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Carpenter Miles and Cloward (2001),mjosi,https://www.nhm.ac.uk/discover/dino-directory/hesperosaurus.html,46.08118528234141,-117.63373925142815
heterodontosaurus,herbivorous,Early Jurassic,South Africa,euornithopod,1.2m,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,Crompton and Charig (1962),tucki,https://www.nhm.ac.uk/discover/dino-directory/heterodontosaurus.html,-28.999818718412413,22.022017189023074
heyuannia,omnivorous,Late Cretaceous,Mongolia,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Barsbold (1981),yanshini,https://www.nhm.ac.uk/discover/dino-directory/heyuannia.html,49.08649600682492,98.69640572554516
