name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,lat,long
poekilopleuron,carnivorous,Mid Jurassic,France,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Eudes-Deslongchamps (1838),bucklandii,https://www.nhm.ac.uk/discover/dino-directory/poekilopleuron.html,48.59770937649319,0.5049487792375089
prenocephale,herbivorous,Late Cretaceous,Mongolia,euornithopod,2.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Maryańska and Osmólska (1974),prenes,https://www.nhm.ac.uk/discover/dino-directory/prenocephale.html,49.08649600682492,98.69640572554516
probactrosaurus,herbivorous,Early Cretaceous,China,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Rozhdestvensky (1966),gobiensis,https://www.nhm.ac.uk/discover/dino-directory/probactrosaurus.html,39.07922300011976,111.43621012808882
procompsognathus,carnivorous,Late Triassic,Germany,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Fraas (1913),triassicus,https://www.nhm.ac.uk/discover/dino-directory/procompsognathus.html,51.605660718254256,7.434481156019075
prosaurolophus,herbivorous,Late Cretaceous,USA,euornithopod,7.6m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1916),maximus,https://www.nhm.ac.uk/discover/dino-directory/prosaurolophus.html,46.08118528234141,-117.63373925142815
protarchaeopteryx,carnivorous,Early Cretaceous,China,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,Ji and Ji (1997),robusta,https://www.nhm.ac.uk/discover/dino-directory/protarchaeopteryx.html,42.04532706118388,83.91296904405971
protoceratops,herbivorous,Late Cretaceous,Mongolia,ceratopsian,1.8m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Granger and Gregory (1923),andrewsi,https://www.nhm.ac.uk/discover/dino-directory/protoceratops.html,49.08649600682492,98.69640572554516
protohadros,herbivorous,Late Cretaceous,USA,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Head (1998),byrdi,https://www.nhm.ac.uk/discover/dino-directory/protohadros.html,43.7327862135927,-91.29032576261446
rhabdodon,herbivorous,Late Cretaceous,Spain,euornithopod,4.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,Matherton (1869),priscus,https://www.nhm.ac.uk/discover/dino-directory/rhabdodon.html,41.71458204339859,-6.561323365549526
rinchenia,omnivorous,Late Cretaceous,Mongolia,small theropod,2.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Barsbold (1986),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/rinchenia.html,49.08649600682492,98.69640572554516
saichania,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,6.6m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Maryañska (1977),chulsanensis,https://www.nhm.ac.uk/discover/dino-directory/saichania.html,49.08649600682492,98.69640572554516
saurolophus,herbivorous,Late Cretaceous,Mongolia,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1912),osborni,https://www.nhm.ac.uk/discover/dino-directory/saurolophus.html,49.08649600682492,98.69640572554516
sauropelta,herbivorous,Early Cretaceous,USA,armoured dinosaur,6.5m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Ostrom (1970),edwardsorum,https://www.nhm.ac.uk/discover/dino-directory/sauropelta.html,38.52770197894651,-115.51396668160244
saurophaganax,carnivorous,Late Jurassic,USA,large theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Chure (1996),maximus,https://www.nhm.ac.uk/discover/dino-directory/saurophaganax.html,36.6111957036912,-101.52376612503838
